,Name,Symbol,APY (1y),APY (5y)
81,CompuGroup Medical SE,COP.F,1.0478055129924744,0.8353333683322832
19,MERCK Kommanditgesellschaft auf Aktien,MRK.F,1.0259031819894122,1.436985839298985
59,PUMA SE,PUM.F,1.0037981257206543,1.1340067016845565
93,JENOPTIK AG,JEN.F,0.9473463323335152,0.9595882700176095
68,Symrise AG,SY1.F,0.9463530878032367,1.2463616002372935
124,STRATEC SE,SBS.F,0.9448363170434306,1.3082928564218597
116,Eckert & Ziegler Strahlen- und Medizintechnik AG,EUZ.F,0.9350214777423559,2.084599309959738
18,Infineon Technologies AG,IFX.F,0.9229811267352922,1.1277315112964645
49,K+S AG,SDF.F,0.9003691754554991,1.7890288876176559
45,Hannover RÃ¼ck SE,HNR1.F,0.8145084549001615,1.5047121060047226
46,HELLA GmbH & Co. KGaA,HLE.F,0.75430092142035,2.1461109594992456
4,Beiersdorf AG,BEI.F,0.7369835536686091,0.7359208145675935
79,Carl Zeiss Meditec AG,AFX.F,0.6737292040622104,0.7826733098058858
134,Basler AG,BSL.F,0.6079367813533059,0.792168364233127
113,Siemens Energy AG,ENR.F,0.5798420817155157,
56,Nemetschek SE,NEM.F,0.5539450230765995,0.5621972993058313
22,SAP SE,SAP.F,0.5082188416785588,1.5907719906385243
102,RATIONAL AG,RAA.F,0.3965323389564181,1.1020094534185594
84,DrÃ¤gerwerk AG & Co. KGaA Vz,DRW3.F,0.391714631657578,0.4624882843871686
71,Uniper SE,UN01.F,0.3496258768990301,3.2718972358593703
148,PNE AG,PNE3.F,0.309049230604439,1.1064609868188857
62,Sartorius AG,SRT3.F,0.308089259229675,0.33423577133307386
34,Deutsche Wohnen SE,DWNI.F,0.14445051819980603,1.8778962499062073
143,adesso SE,0N5I.L,0.0,
142,About You Holding SE,0A9O.L,0.0,
144,GFT Technologies SE,0O2W.L,0.0,
140,Daimler Truck Holding AG,DTG.F,0.0,
10,Deutsche Lufthansa AG,LHA.F,0.0,0.9824727010255748
130,Verallia Deutschland AG,OLG.F,0.0,2.0764416881114736
138,SUSE S.A.,SUSE.F,0.0,
145,Vitesco Technologies Group AG,VTS.F,0.0,
136,secunet Security Networks AG,0NWC.L,0.0,
135,PVA TePla AG,TPE.F,0.0,0.0
86,ENCAVIS AG ,CAP.F,0.0,
146,EnergieKontor AG,0E9V.L,0.0,
132,Nagarro SE,NA9.F,0.0,
89,Heidelberger Druckmaschinen AG,HDD.F,0.0,0.0
105,SMA Solar Technology AG,S92.F,0.0,0.31236001640633143
129,AUTO1 Group SE,AG1.F,0.0,
103,SGL CARBON SE,SGL.F,0.0,0.0
40,Fraport AG,FRA.F,0.0,1.8530081450434035
110,zooplus AG,ZO1.F,0.0,0.0
111,Siemens Gamesa Renewable Energy SA,GTQ1.F,0.0,0.0967172176998537
38,Evotec SE,EVT.F,0.0,0.0
74,Zalando SE,ZAL.F,0.0,0.0
