,Name,Symbol,APY (1y),APY (5y)
3,Ageas SA/NV,FO4N.F,10.67626417184143,7.696185115256737
9,KBC Group NV,KDB.F,9.80903221336997,6.861403822877469
10,Proximus PLC,BX7.F,8.279477335258978,8.098001731363722
12,Solvay SA,SOL.F,7.012636090614491,4.972660307405794
4,Aperam SA,7AA.F,5.768311099713083,6.399559365694044
6,Cofinimmo SA,COF.F,5.387555781425867,5.420612162115815
14,Aedifica,AOO.F,3.78710749082666,5.10660682253974
8,Groupe Bruxelles Lambert SA,EAI.F,3.256610768450767,3.6723658303314264
0,Deutsche B̦rse AG,DB1.F,2.0233113337199846,2.21681492451819
1,Anheuser-Busch InBev SA/NV,1NBA.F,1.9281945600830768,2.8973385450778713
2,Ackermans & van Haaren,B3K.F,1.8046010802673533,1.7934962394790008
13,UCB S.A.,UNC.F,1.5084008628400691,1.9634360428895008
11,Sofina S.A.,8FS.F,1.1405051361766338,1.3858870033019548
5,argenx SE,1AE.F,0.0,0.0
7,Galapagos NV,GXE.F,0.0,0.0
